Q(1): Ø§ÙØ³Ø¤Ø§Ù,Ø®ÙØ§Ø± 1,Ø®ÙØ§Ø± 2,Ø®ÙØ§Ø± 3,Ø®ÙØ§Ø± 4,Ø§ÙØ¥Ø¬Ø§Ø¨Ø©,Ø§ÙØªÙØ³ÙØ±,Ø±Ø§Ø¨Ø· Ø§ÙØµÙØ±Ø©,Ø§Ø³Ù Ø§ÙÙÙÙ,Detailed,Subject,Source
Q(4503): A patient with HIV infection has multiple bluish-purple macules on the palate and gingiva. Diagnosis?,Kaposi sarcoma,Melanotic macule,Hemangioma,Oral candidiasis,Kaposi sarcoma,AIDS-associated vascular tumor caused by HHV-8.,,,"KS is the most common malignancy in HIV; lesions may be multiple, ulcerated, and require chemotherapy or radiation.",Pathology,
"Q(4504): A 60-year-old man with a history of heavy smoking presents with white plaque on ventral tongue, biopsy shows severe dysplasia. Best management?",Surgical excision,Observation,Topical antifungal,Steroids,Surgical excision,High risk of malignant transformation requires removal.,,,Dysplastic leukoplakias require complete excision and close follow-up to prevent progression to invasive carcinoma.,Pathology,
Q(4510): A 45-year-old man develops asymptomatic bilateral bluish nodules on the ventral tongue. Diagnosis?,Varicosities,Hemangioma,Melanotic macule,Kaposi sarcoma,Varicosities,"Dilated venous structures common in elderly, benign and asymptomatic.",,,No treatment required; differentiation from vascular tumors important.,Pathology,
"Q(4512): A 55-year-old man presents with a large, painless ulcer on the lateral tongue with rolled indurated margins. What is the next step?",Biopsy,Observation,Antibiotics,Steroids,Biopsy,To rule out squamous cell carcinoma.,,,Early biopsy essential to detect malignancy; prompt diagnosis improves prognosis.,Pathology,
"Q(4514): A 35-year-old HIV-positive patient has white, corrugated plaques on the lateral tongue that cannot be scraped off. PCR detects Epstein-Barr virus. What is the lesion?",Oral hairy leukoplakia,Candidiasis,Leukoplakia,Lichen planus,Oral hairy leukoplakia,EBV-induced lesion in immunocompromised patients; benign but indicates immune suppression.,,,OHL is a marker of HIV progression; lesions persist without malignant transformation. Treatment focuses on antiretroviral therapy.,Pathology,
Q(4515): A 60-year-old man with a 2 cm ulcer on the lateral tongue with indurated margins and no healing for 6 weeks. What is the best next step?,Incisional biopsy,Observation,Antibiotics,Antifungals,Incisional biopsy,Persistent ulcers with induration suspicious for malignancy require histological diagnosis.,,,Early biopsy critical to diagnose oral squamous cell carcinoma; delays reduce survival.,Pathology,
Q(4518): A 55-year-old man with swelling of parotid gland and pain worsened during meals. Ultrasound shows hyperechoic mass in duct. Diagnosis?,Sialolithiasis,Sjögren’s syndrome,Mucocele,Tumor,Sialolithiasis,Salivary duct stones causing obstruction and gland swelling.,,,Stones obstruct salivary flow causing swelling and pain. Imaging guides surgical removal or lithotripsy.,Pathology,
Q(4519): A 65-year-old smoker has diffuse white plaques on the buccal mucosa that cannot be scraped off. Biopsy reveals hyperkeratosis without dysplasia. Diagnosis?,Leukoplakia,Oral candidiasis,Lichen planus,Oral hairy leukoplakia,Leukoplakia,Clinical white lesion with potential premalignant risk; histology guides management.,,,Risk factor modification and surveillance essential; dysplastic lesions may require excision.,Pathology,
"Q(4522): A 50-year-old presents with rapidly growing painless swelling of the lower lip, biopsy shows mucin-producing tumor cells. Diagnosis?",Mucoepidermoid carcinoma,Pleomorphic adenoma,Basal cell adenoma,Warthin tumor,Mucoepidermoid carcinoma,Most common malignant salivary gland tumor with variable aggressiveness.,,,Early diagnosis and complete excision improve prognosis; high-grade tumors require adjunct therapy.,Pathology,
Q(4526): A 45-year-old with persistent leukoplakia on ventral tongue shows severe dysplasia on biopsy. Management?,Surgical excision,Observation,Antifungals,Steroids,Surgical excision,High-risk lesion requiring removal to prevent malignancy.,,,Complete excision with margins advised; regular follow-up necessary to monitor recurrence.,Pathology,
"Q(4529): A 40-year-old presents with painless, firm swelling on the hard palate. Biopsy shows mixed epithelial and mesenchymal cells with cartilaginous differentiation. Diagnosis?",Pleomorphic adenoma,Mucoepidermoid carcinoma,Warthin tumor,Adenoid cystic carcinoma,Pleomorphic adenoma,Most common benign salivary gland tumor with diverse histology.,,,Surgical excision with margin required to prevent recurrence; usually slow growing and painless.,Pathology,
"Q(4530): A 60-year-old presents with a painless ulcer on lateral tongue with rolled, indurated margins. Best investigation?",Biopsy,Antibiotics,Observation,Antifungal,Biopsy,To confirm or exclude malignancy.,,,Early diagnosis and staging essential for optimal treatment and improved prognosis.,Pathology,
"Q(4533): A 45-year-old presents with multiple bilateral bluish nodules on ventral tongue, asymptomatic. Diagnosis?",Varicosities,Hemangioma,Melanotic macule,Kaposi sarcoma,Varicosities,"Dilated veins common in elderly, benign and asymptomatic.",,,Varicosities do not require treatment; differentiate from vascular tumors by clinical examination.,Pathology,
Q(4535): A 50-year-old patient has a non-healing ulcerated lesion on the lateral tongue with rolled borders. Next step?,Biopsy,Antibiotics,Observation,Steroids,Biopsy,To rule out squamous cell carcinoma.,,,Early histological diagnosis critical; delayed diagnosis worsens outcomes.,Pathology,
Q(4537): A 45-year-old with heavy smoking history has white plaque on tongue with severe dysplasia on biopsy. Management?,Surgical excision,Observation,Topical antifungal,Steroids,Surgical excision,High risk of malignant transformation requires removal.,,,Complete excision and surveillance mandatory; risk factor cessation advised.,Pathology,
"Q(4539): A 35-year-old presents with painless, slow-growing tongue swelling showing cystic areas on imaging. Diagnosis?",Pleomorphic adenoma,Mucocele,Granular cell tumor,Hemangioma,Pleomorphic adenoma,Benign salivary tumor with mixed tissue components.,,,Surgical excision required; recurrence possible if incompletely removed.,Pathology,
Q(4546): The hallmark histological feature of oral lichen planus is?,Saw-tooth shaped rete ridges with band-like lymphocytic infiltrate,Granuloma formation,Multinucleated giant cells,Hyperplastic epithelium without inflammation,Saw-tooth shaped rete ridges with band-like lymphocytic infiltrate,Characteristic basal cell degeneration with dense subepithelial lymphocytes.,,,Histology helps differentiate lichen planus from lichenoid reactions and leukoplakia.,Pathology,
Q(4549): A persistent white plaque that cannot be scraped off and has a 5% risk of malignant transformation is called?,Leukoplakia,Oral candidiasis,Lichen planus,Oral hairy leukoplakia,Leukoplakia,Leukoplakia is a potentially malignant disorder requiring biopsy and follow-up.,,,Differentiating from other white lesions is critical; risk factors include tobacco and alcohol.,Pathology,
Q(4553): Which type of oral cancer accounts for >90% of malignancies in the oral cavity?,Squamous cell carcinoma,Melanoma,Adenocarcinoma,Lymphoma,Squamous cell carcinoma,Most oral malignancies arise from squamous epithelium.,,,"Risk factors include tobacco, alcohol, HPV; early diagnosis improves prognosis.",Pathology,
Q(4558): The primary lesion in erythema multiforme is?,Target lesion,Vesicle,Macule,Plaque,Target lesion,Typical concentric rings of erythema on skin.,,,EM is immune-mediated with mucocutaneous involvement; HSV often triggers; treatment supportive.,Pathology,
Q(4559): A 40-year-old female presents with chronic bilateral parotid swelling and xerostomia but negative autoantibodies. What is the next best step?,Minor salivary gland biopsy,MRI,Blood culture,Chest X-ray,Minor salivary gland biopsy,Confirms diagnosis of Sjögren’s syndrome histologically in seronegative cases.,,,Focal lymphocytic sialadenitis with focus score ≥1 confirms diagnosis; guides management.,Pathology,
Q(4562): What is the hallmark of oral hairy leukoplakia?,White corrugated lateral tongue plaques,White removable plaques,Red patches on tongue,Ulcerations,White corrugated lateral tongue plaques,EBV-induced lesion in immunosuppressed patients.,,,OHL is non-malignant but indicates immunosuppression; diagnosis confirmed by EBV detection.,Pathology,
Q(4564): A 60-year-old smoker has a non-healing ulcer on lateral tongue with biopsy confirming squamous cell carcinoma. What is the most important prognostic factor?,Lymph node metastasis,Tumor size,Patient age,Tumor site,Lymph node metastasis,Presence of nodal disease greatly worsens prognosis.,,,Nodal involvement indicates advanced disease; treatment includes neck dissection and adjuvant therapy.,Pathology,
Q(4567): The best initial test to confirm Sjögren’s syndrome in a seronegative patient is?,Minor salivary gland biopsy,MRI,Blood tests,Schirmer’s test,Minor salivary gland biopsy,Histology shows lymphocytic infiltration confirming diagnosis.,,,Helps differentiate from other causes of xerostomia; guides treatment.,Pathology,
"Q(4568): A painless, slow-growing swelling in the posterior mandible with multilocular “soap bubble” radiographic appearance is?",Ameloblastoma,Osteosarcoma,Odontogenic keratocyst,Central giant cell granuloma,Ameloblastoma,Benign but locally aggressive odontogenic tumor.,,,Requires surgical excision with margins due to recurrence risk.,Pathology,
Q(4575): A 60-year-old heavy smoker has a persistent ulcer on the lateral border of the tongue. Which investigation is most important?,Incisional biopsy,Observation,Antifungal therapy,Antibiotics,Incisional biopsy,Persistent oral ulcers with indurated borders must be biopsied to rule out squamous cell carcinoma. Early diagnosis is key for prognosis.,,,Oral oncology,Pathology,
Q(4578): A 50-year-old patient has swelling and pain in the parotid gland aggravated by eating. Ultrasound shows a hyperechoic lesion in the duct. Diagnosis?,Sialolithiasis,Mucocele,Sjögren’s syndrome,Salivary gland tumor,Sialolithiasis,Salivary stones cause obstruction leading to gland swelling and pain especially during meals. Ultrasound is useful for detection. Management includes removal of the stone.,,,Salivary gland disorders,Pathology,
Q(4586): A 44-year-old with leukoplakia on tongue biopsy shows severe dysplasia. Treatment?,Surgical excision,Observation,Antifungal therapy,Steroids,Surgical excision,Severe dysplasia carries high malignant potential; excision and close follow-up are required.,,,Precancerous lesions,Pathology,
"Q(4590): A patient presents with ulcerated, indurated lesion on lateral tongue. Next step?",Biopsy,Antibiotics,Observation,Antifungals,Biopsy,To exclude squamous cell carcinoma.,,,Oncology,Pathology,
Q(4595): A patient presents with non-healing ulcer on tongue with rolled borders. Next step?,Biopsy,Antibiotics,Observation,Steroids,Biopsy,To rule out malignancy.,,,Oncology,Pathology,
Q(4597): A 45-year-old smoker has tongue leukoplakia with severe dysplasia. Management?,Surgical excision,Observation,Antifungals,Steroids,Surgical excision,High malignant potential; excision and follow-up necessary.,,,Precancerous lesions,Pathology,
Q(5020): What is the first clinically visible sign of enamel caries?,White spot lesion,Cavitation,Brown discoloration,Pulpal inflammation,White spot lesion,White spot lesion indicates subsurface demineralization without cavitation.,,,,Operative,
Q(5030): Which factor enhances remineralization of early carious lesions?,Increased salivary flow,Acidic pH,High sugar diet,Plaque accumulation,Increased salivary flow,Saliva buffers acids and supplies minerals to repair enamel.,,,,Operative,
Q(5040): Scenario: A patient presents with sensitivity and visible enamel cavitation on a premolar. What is the recommended treatment?,Restore with appropriate material after caries removal,Fluoride application only,Extract tooth,Monitor lesion,Restore with appropriate material after caries removal,Cavitated lesions require operative treatment to restore tooth integrity.,,,,Operative,
"Q(5225): Scenario 2: A patient presents with a red, ulcerated, rapidly growing lesion on the gingiva. Biopsy confirms pyogenic granuloma. What is the common cause?",Chronic irritation or trauma,Viral infection,Autoimmune disease,Malignancy,Chronic irritation or trauma,"Pyogenic granuloma is a reactive lesion due to irritation, trauma, or hormonal changes.",,,"Usually occurs in gingiva, common in pregnant women.",Pathology,
Q(5226): Scenario 3: A radiolucent lesion is found around the crown of an unerupted third molar on panoramic radiograph. What is the diagnosis?,Dentigerous cyst,Radicular cyst,Odontogenic keratocyst,Ameloblastoma,Dentigerous cyst,Dentigerous cyst encloses the crown of unerupted teeth and is the second most common odontogenic cyst.,,,Can cause bone expansion and displacement of teeth if large.,Pathology,
Q(5227): Scenario 4: A patient with white plaques on the lateral tongue that cannot be scraped off is suspected to have oral hairy leukoplakia. What virus is responsible?,Epstein-Barr virus (EBV),Herpes simplex virus (HSV),Human papillomavirus (HPV),Cytomegalovirus (CMV),Epstein-Barr virus (EBV),Oral hairy leukoplakia occurs in immunocompromised patients and is caused by EBV.,,,Lesions are benign but indicate immunosuppression.,Pathology,
"Q(5228): Scenario 5: A painless, slow-growing swelling is found in the posterior mandible of a young adult. Histology shows ameloblastoma. What is the typical radiographic appearance?","Multilocular ""soap bubble"" radiolucency",Well-defined radiopacity,Mixed radiolucent-radiopaque lesion,Ill-defined radiolucency,"Multilocular ""soap bubble"" radiolucency",Ameloblastoma typically presents as multilocular radiolucency causing expansion.,,,Requires surgical excision due to locally aggressive behavior.,Pathology,
Q(5229): Scenario 6: A patient with oral lichen planus complains of burning sensation and white reticular lesions on buccal mucosa. What is the nature of this disease?,Chronic autoimmune mucocutaneous disorder,Infectious disease,Benign tumor,Genetic disorder,Chronic autoimmune mucocutaneous disorder,Lichen planus is T-cell mediated immune condition causing mucosal lesions.,,,May have potential for malignant transformation; requires monitoring.,Pathology,
Q(5230): What is the most common developmental cyst in the jaws?,Dentigerous cyst,Radicular cyst,Odontogenic keratocyst,Nasopalatine duct cyst,Dentigerous cyst,"The radicular cyst is INFLAMMATORY, not developmental. The commonest DEVELOPMENTAL odontogenic cyst is the dentigerous cyst.",,,,Pathology,
Q(5231): What oral condition is characterized by a white patch that cannot be scraped off and is considered precancerous?,Leukoplakia,Candidiasis,Lichen planus,Herpes simplex,Leukoplakia,Leukoplakia is a white plaque considered potentially malignant.,,,Biopsy required to exclude dysplasia or carcinoma.,Pathology,
Q(5233): Which virus is most commonly associated with squamous cell carcinoma of the oropharynx?,Human papillomavirus (HPV),Epstein-Barr virus (EBV),Herpes simplex virus (HSV),Cytomegalovirus (CMV),Human papillomavirus (HPV),High-risk HPV types 16 and 18 are associated with oropharyngeal cancers.,,,HPV-positive tumors have better prognosis than HPV-negative.,Pathology,
Q(5236): Which condition is characterized by excessive keratinization and is strongly associated with areca nut chewing?,Oral submucous fibrosis,Leukoplakia,Lichen planus,Candidiasis,Oral submucous fibrosis,"A chronic, progressive fibrosis of oral mucosa causing rigidity and limited mouth opening.",,,Considered a precancerous condition.,Pathology,
Q(5238): What is the typical clinical presentation of a traumatic fibroma?,"Smooth, painless, firm, sessile nodule",Ulcerated painful lesion,Rapidly growing mass,White plaque,"Smooth, painless, firm, sessile nodule",Reactive hyperplasia from chronic irritation or trauma.,,,Commonly occurs on buccal mucosa along bite line.,Pathology,
Q(5239): Which salivary gland tumor is most common and usually benign?,Pleomorphic adenoma,Mucoepidermoid carcinoma,Adenoid cystic carcinoma,Warthin tumor,Pleomorphic adenoma,"Most common benign salivary gland tumor, usually painless and slow growing.",,,Has epithelial and mesenchymal components.,Pathology,
Q(5240): What is the preferred diagnostic method for oral leukoplakia?,Incisional biopsy,Clinical examination only,Cytology,Radiography,Incisional biopsy,Histopathological examination is needed to evaluate dysplasia or malignancy.,,,Guides management and prognosis.,Pathology,
Q(5242): What is the hallmark feature of an odontogenic keratocyst?,"Thin, uniform epithelial lining with palisaded basal cells",Thick keratinized lining,Multilocular radiopacity,Cystic inflammation,"Thin, uniform epithelial lining with palisaded basal cells",Unique histology with aggressive behavior and high recurrence rate.,,,Requires surgical management with long-term follow-up.,Pathology,
Q(5243): Scenario 24: Patient has persistent white lesion with red patches on buccal mucosa. Biopsy confirms erythroplakia. What is the clinical significance?,High risk of malignant transformation,Benign inflammatory lesion,Fungal infection,Traumatic ulcer,High risk of malignant transformation,Erythroplakia has higher dysplasia and carcinoma rates than leukoplakia.,,,Requires prompt diagnosis and management.,Pathology,
"Q(5245): Scenario 26: A firm, painless swelling is present on the palate of a middle-aged male smoker. Biopsy shows squamous cell carcinoma. What is the prognosis compared to tongue SCC?",Worse prognosis due to late detection,Better prognosis,Same prognosis,Benign lesion,Worse prognosis due to late detection,Palatal carcinomas are often diagnosed late with poorer outcomes.,,,Early detection and biopsy are critical.,Pathology,
Q(5249): Scenario 30: A painless bluish swelling is noted on the ventral tongue. Clinical diagnosis is venous varix. What is true about this lesion?,It is a benign vascular lesion,It is malignant,Requires excision,Caused by trauma,It is a benign vascular lesion,"Venous varices are dilated veins common in elderly, require no treatment.",,,Differentiated from other vascular lesions clinically.,Pathology,
Q(5252): Scenario 33: A radiolucent lesion in the posterior mandible exhibits aggressive behavior with satellite cysts histologically. Diagnosis?,Odontogenic keratocyst,Dentigerous cyst,Radicular cyst,Residual cyst,Odontogenic keratocyst,Known for aggressive growth and high recurrence due to daughter cysts.,,,Requires surgical excision and long-term follow-up.,Pathology,
Q(5255): Scenario 36: A radiopaque lesion surrounded by radiolucent halo is found in posterior mandible in young patient. Diagnosis?,Cementoblastoma,Osteoma,Osteosarcoma,Ameloblastoma,Cementoblastoma,Benign odontogenic tumor attached to root causing characteristic radiographic appearance.,,,Usually causes pain and swelling; treated by surgical removal.,Pathology,
Q(5257): What is the characteristic feature of oral lichen planus on histology?,Saw-tooth rete ridges and band-like lymphocytic infiltrate,Granulomatous inflammation,Necrotizing ulcer,Hyperkeratosis without inflammation,Saw-tooth rete ridges and band-like lymphocytic infiltrate,Autoimmune T-cell mediated damage causes basal cell degeneration.,,,"Lesions may be reticular, erosive, or plaque-like clinically.",Pathology,
Q(5258): Which condition is a precancerous disorder strongly associated with areca nut chewing?,Oral submucous fibrosis,Leukoplakia,Lichen planus,Oral candidiasis,Oral submucous fibrosis,Progressive fibrosis causing rigidity and limited mouth opening; risk of malignant transformation.,,,Common in South Asia; management includes habit cessation.,Pathology,
Q(5261): Which malignancy is the most common salivary gland tumor?,Mucoepidermoid carcinoma,Adenoid cystic carcinoma,Pleomorphic adenoma,Polymorphous low-grade adenocarcinoma,Mucoepidermoid carcinoma,Most common malignant salivary gland tumor with variable behavior.,,,Requires surgical excision and sometimes radiotherapy.,Pathology,
Q(5263): Which cyst arises from epithelial remnants of nasopalatine duct?,Nasopalatine duct cyst,Radicular cyst,Dentigerous cyst,Odontogenic keratocyst,Nasopalatine duct cyst,Most common non-odontogenic developmental cyst in the anterior maxilla.,,,Presents as midline palatal swelling or radiolucency between central incisors.,Pathology,
Q(5266): What is the typical histology of leukoplakia with dysplasia?,Epithelial hyperplasia with nuclear pleomorphism,Normal epithelium,Hyperkeratosis without dysplasia,Granulomatous inflammation,Epithelial hyperplasia with nuclear pleomorphism,Dysplastic changes indicate potential for malignant transformation.,,,Biopsy mandatory for diagnosis.,Pathology,
Q(5270): Which oral lesion is strongly associated with smokeless tobacco (snuff) use and may progress to carcinoma?,Smokeless tobacco keratosis,Candidiasis,Oral lichen planus,Herpes labialis,Smokeless tobacco keratosis,Hyperkeratotic lesion caused by tobacco irritation; premalignant potential.,,,Patient education and cessation crucial.,Pathology,
Q(5272): Scenario 54: A patient presents with non-healing ulcer on lateral tongue. Biopsy reveals squamous cell carcinoma. What is the main risk factor?,Tobacco and alcohol use,Viral infection,Trauma,Genetic disorders,Tobacco and alcohol use,Major risk factors for oral squamous cell carcinoma.,,,Early diagnosis improves prognosis.,Pathology,
Q(5275): Scenario 57: Which oral lesion is caused by human papillomavirus (HPV)?,Verruca vulgaris,Leukoplakia,Lichen planus,Candidiasis,Verruca vulgaris,"Common wart caused by HPV, presents as white papillary lesion.",,,Often self-limiting but may require removal.,Pathology,
"Q(5277): Scenario 59: Which condition is characterized by a painless, firm swelling with a “ground-glass” radiographic appearance?",Fibrous dysplasia,Ameloblastoma,Osteosarcoma,Odontogenic keratocyst,Fibrous dysplasia,Replacement of bone with fibrous tissue leading to characteristic radiopacity.,,,Often stabilizes after puberty; may require surgery.,Pathology,
Q(5282): Scenario 64: Which systemic disease is associated with macroglossia and amyloid deposits in the tongue?,Amyloidosis,Diabetes mellitus,Leukemia,Multiple sclerosis,Amyloidosis,Deposition of amyloid protein causes tongue enlargement and firmness.,,,Can impair speech and swallowing; diagnosis requires biopsy.,Oral Medicine,
Q(5284): Scenario 66: Which traumatic lesion is characterized by white hyperkeratotic plaque from chronic friction?,Frictional keratosis,Traumatic ulcer,Aphthous ulcer,Leukoplakia,Frictional keratosis,Reactive keratin buildup in response to chronic mechanical irritation.,,,Benign lesion resolves after removing irritant.,Pathology,
Q(5289): Scenario 67: A patient has an ulcerated traumatic lesion on the tongue after biting. Treatment?,Remove source of trauma and provide symptomatic care,Surgical excision,Antibiotics,No treatment,Remove source of trauma and provide symptomatic care,Removing irritant allows healing within 7-14 days.,,,Analgesics or topical agents may be used for comfort.,Oral Medicine,
"Q(5292): Scenario 70: Which condition is characterized by painless, slow-growing swelling in the parotid gland in older males and is associated with smoking?",Warthin tumor,Pleomorphic adenoma,Mucoepidermoid carcinoma,Adenoid cystic carcinoma,Warthin tumor,Benign tumor with papillary cystic histology.,,,"Warthin tumor (papillary cystadenoma lymphomatosum) is strongly smoking-associated and occurs almost exclusively in the parotid of older males. It is bilateral or multifocal in roughly 5-15% of cases - the most commonly bilateral salivary tumor, though most cases are unilateral. Treatment is superficial parotidectomy or enucleation.",Pathology,
Q(5293): Scenario 71: What is the hallmark histopathologic finding in oral lichen planus?,Band-like lymphocytic infiltrate in lamina propria,Granulomas,Hyperplastic epithelium,Necrosis,Band-like lymphocytic infiltrate in lamina propria,T-cell mediated damage to basal keratinocytes.,,,Correlates with reticular or erosive clinical features.,Pathology,
Q(5294): Scenario 72: What is the main oral manifestation of iron deficiency anemia?,Atrophic glossitis with burning sensation,Oral candidiasis,Leukoplakia,Oral hairy leukoplakia,Atrophic glossitis with burning sensation,"Papillary atrophy causes smooth, erythematous tongue.",,,May be accompanied by angular stomatitis.,Pathology,
Q(5296): Scenario 74: Which oral lesion is strongly associated with smokeless tobacco use?,Tobacco pouch keratosis,Leukoplakia,Oral lichen planus,Candidiasis,Tobacco pouch keratosis,White wrinkled mucosa at site of tobacco placement with potential for dysplasia.,,,Habit cessation reduces lesion size and cancer risk.,Pathology,
"Q(5302): Scenario 80: Which lesion appears as a painless, sessile, pink nodule commonly found on buccal mucosa at the site of chronic irritation?",Irritation fibroma,Pyogenic granuloma,Mucocele,Traumatic ulcer,Irritation fibroma,Reactive hyperplasia of fibrous connective tissue due to trauma.,,,Does not regress spontaneously; requires excision.,Pathology,
Q(5306): Scenario 84: Which benign salivary gland tumor is associated with smoking and often bilateral in parotid glands?,Warthin tumor,Pleomorphic adenoma,Mucoepidermoid carcinoma,Adenoid cystic carcinoma,Warthin tumor,Papillary cystadenoma lymphomatosum with strong smoking association.,,,Generally slow growing with low malignant potential.,Pathology,
Q(5311): Which salivary gland tumor is most common in minor salivary glands and has polymorphous histology?,Polymorphous low-grade adenocarcinoma,Pleomorphic adenoma,Mucoepidermoid carcinoma,Adenoid cystic carcinoma,Polymorphous low-grade adenocarcinoma,Slow-growing tumor mostly affecting palate with good prognosis.,,,Requires complete surgical excision.,Pathology,
Q(5312): What is the typical clinical feature of oral lichen planus?,Wickham striae and reticular white lesions,Ulcers with purulent discharge,Nodular masses,White plaques removable by scraping,Wickham striae and reticular white lesions,Fine white lacy network on buccal mucosa characteristic of lichen planus.,,,Chronic autoimmune condition requiring monitoring.,Oral Medicine,
Q(5320): Scenario 91: Which fungal infection causes chronic oral ulcers in immunocompromised patients?,Histoplasmosis,Candidiasis,Aspergillosis,Cryptococcosis,Histoplasmosis,Dimorphic fungus causing ulcerative lesions in oral cavity.,,,Diagnosed by biopsy and fungal culture.,Pathology,
Q(5321): Scenario 92: Which tumor is most commonly associated with perineural invasion and pain?,Adenoid cystic carcinoma,Pleomorphic adenoma,Mucoepidermoid carcinoma,Warthin tumor,Adenoid cystic carcinoma,Known for slow growth but aggressive perineural spread causing pain.,,,Often requires wide surgical excision and radiotherapy.,Pathology,
Q(5323): Scenario 94: What is the characteristic lesion of hairy leukoplakia?,Corrugated white patches on lateral tongue,Ulcerated red lesion,White plaque on buccal mucosa,Nodular growth,Corrugated white patches on lateral tongue,EBV-related lesion in immunocompromised patients.,,,Usually asymptomatic and benign.,Pathology,
Q(5325): Scenario 96: Which oral manifestation is common in vitamin A deficiency?,Xerophthalmia and keratinization,Candidiasis,Leukoplakia,Oral hairy leukoplakia,Xerophthalmia and keratinization,Vitamin A deficiency causes mucosal dryness and keratinization.,,,May affect oral and ocular mucosa.,Pathology,
Q(5326): Scenario 97: Which of the following is the treatment of choice for oral leukoplakia with mild dysplasia?,Elimination of irritants and close follow-up,Immediate excision,Radiation therapy,Chemotherapy,Elimination of irritants and close follow-up,Conservative management with cessation of risk factors is preferred initially.,,,Biopsy confirms degree of dysplasia guiding treatment.,Pathology,
"Q(5327): Scenario 98: Which lesion presents as a slow-growing, painless swelling in the palate, histologically composed of myxoid and epithelial elements?",Pleomorphic adenoma,Mucoepidermoid carcinoma,Warthin tumor,Adenoid cystic carcinoma,Pleomorphic adenoma,Benign mixed tumor with epithelial and mesenchymal components.,,,Most common salivary gland tumor.,Pathology,
Q(5328): Scenario 99: What is the causative agent of oral hairy leukoplakia?,Epstein-Barr virus (EBV),Herpes simplex virus (HSV),Human papillomavirus (HPV),Cytomegalovirus (CMV),Epstein-Barr virus (EBV),EBV causes this lesion in immunocompromised patients.,,,Appears as corrugated white patches on lateral tongue.,Pathology,
Q(5331): A 40-year-old patient has a rapidly growing red ulcerated gingival lesion diagnosed as pyogenic granuloma. Common cause?,Chronic irritation or trauma,Viral infection,Autoimmune disease,Malignancy,Chronic irritation or trauma,"Reactive lesion caused by irritation, often pregnancy-related.",,,Usually treated by removing irritant and excision if needed.,Pathology,
Q(5332): Radiolucency around crown of impacted third molar on panoramic X-ray indicates?,Dentigerous cyst,Radicular cyst,Odontogenic keratocyst,Ameloblastoma,Dentigerous cyst,Most common developmental cyst surrounding impacted teeth.,,,Can cause bone expansion if untreated.,Pathology,
Q(5333): White plaques on lateral tongue that can’t be scraped off in immunocompromised patient suggest?,Oral hairy leukoplakia,Candidiasis,Leukoplakia,Lichen planus,Oral hairy leukoplakia,Caused by EBV in immunosuppressed individuals.,,,Important marker for HIV/AIDS progression.,Pathology,
Q(5334): Painless slow-growing swelling in posterior mandible with multilocular “soap bubble” radiolucency is typical for?,Ameloblastoma,Dentigerous cyst,Odontogenic keratocyst,Fibrous dysplasia,Ameloblastoma,Aggressive odontogenic tumor requiring surgery.,,,Has high recurrence rate without proper management.,Pathology,
"Q(5335): Burning, white reticular lesions on buccal mucosa with T-cell mediated pathology indicate?",Oral lichen planus,Leukoplakia,Candidiasis,Pemphigus vulgaris,Oral lichen planus,Chronic autoimmune mucocutaneous disorder.,,,Needs monitoring due to malignant potential.,Pathology,
Q(5336): Most common inflammatory cyst of jaws caused by pulpal necrosis?,Radicular cyst,Dentigerous cyst,Odontogenic keratocyst,Nasopalatine duct cyst,Radicular cyst,Arises at apex of non-vital teeth.,,,Commonly associated with periapical radiolucency.,Pathology,
Q(5337): White plaque on oral mucosa that cannot be scraped off and is precancerous?,Leukoplakia,Candidiasis,Lichen planus,Herpes simplex,Leukoplakia,Requires biopsy to exclude dysplasia.,,,Often linked to tobacco and alcohol use.,Pathology,
Q(5339): HPV types 16 and 18 are associated with?,Oropharyngeal squamous cell carcinoma,Oral candidiasis,Herpes labialis,Oral lichen planus,Oropharyngeal squamous cell carcinoma,High-risk HPV types cause malignant transformation.,,,Vaccination reduces risk.,Pathology,
Q(5343): Pulpal necrosis and periapical inflammation lead to formation of?,Radicular cyst,Dentigerous cyst,Odontogenic keratocyst,Nasopalatine duct cyst,Radicular cyst,Common inflammatory cyst at tooth apex.,,,Requires endodontic or surgical treatment.,Endodontic,
"Q(5344): Smooth, firm, painless sessile nodular lesion from chronic irritation?",Traumatic fibroma,Pyogenic granuloma,Mucocele,Traumatic ulcer,Traumatic fibroma,Reactive hyperplasia of fibrous connective tissue.,,,Does not regress spontaneously; surgical excision recommended.,Pathology,
Q(5346): Biopsy is essential for diagnosis of?,Leukoplakia,Candidiasis,Traumatic ulcer,Aphthous stomatitis,Leukoplakia,To assess for dysplasia or carcinoma.,,,Guides treatment and prognosis.,Pathology,
Q(5348): Radiographic “soap bubble” appearance indicates?,Ameloblastoma,Dentigerous cyst,Fibrous dysplasia,Odontogenic keratocyst,Ameloblastoma,Multilocular radiolucency typical of this tumor.,,,Requires surgical excision.,Pathology,
Q(5349): High risk of malignant transformation in oral erythroplakia is due to?,Severe epithelial dysplasia,Chronic infection,Trauma,Viral infection,Severe epithelial dysplasia,Red patches with higher risk than leukoplakia.,,,Requires biopsy and close monitoring.,Pathology,
